CET,MeanTemperatureC,MeanDewPointC, MeanHumidity, MeanSeaLevelPressure, MeanWindSpeed,Precipitation, Events,WindDir
4/18/2006,10,3,59,1017,6,0,,355
4/19/2006,13,4,57,1015,6,0,,287
4/20/2006,13,4,56,1015,8,0,,248
4/21/2006,14,8,73,1011,19,0,Rain,201
4/22/2006,12,9,83,1013,8,0,Rain-Thunderstorm,8
4/23/2006,14,9,73,1013,8,0,,3
4/24/2006,18,7,54,1012,10,0,,15
4/25/2006,18,7,49,1016,8,0,,8
4/26/2006,17,6,49,1019,5,0,,35
4/27/2006,18,4,44,1017,10,0,,357
4/28/2006,14,3,48,1016,19,0,,41
4/29/2006,12,1,47,1015,11,0,,16
4/30/2006,14,-1,39,1012,6,0,,19
5/1/2006,16,2,43,1010,10,0,,273
5/2/2006,17,3,44,1010,8,0,,71
5/3/2006,16,8,62,1011,8,0,Rain,43
5/4/2006,17,12,80,1014,6,0,Rain,116
5/5/2006,17,11,75,1020,6,0,Rain,47
5/6/2006,18,10,66,1020,6,0,,141
5/7/2006,14,6,57,1016,10,0,,270
5/8/2006,13,1,43,1017,11,0,,290
5/9/2006,17,1,37,1018,8,0,,28
5/10/2006,18,4,44,1013,5,0,,322
5/11/2006,19,8,53,1012,8,0,Rain-Thunderstorm,118
5/12/2006,18,11,62,1017,10,0,Rain,192
5/13/2006,21,7,47,1019,8,0,,174
5/14/2006,21,9,49,1019,6,0,,290
5/15/2006,21,9,45,1017,6,0,,256
5/16/2006,23,8,42,1019,6,0,,236
5/17/2006,24,8,40,1019,6,0,,308
5/18/2006,24,8,36,1019,13,0,,236
5/19/2006,19,1,30,1021,8,0,,309
5/20/2006,19,2,33,1017,10,0,,284
5/21/2006,20,4,38,1012,10,0,,227
5/22/2006,17,1,34,1013,21,0,,270
5/23/2006,14,-2,34,1019,8,0,,11
5/24/2006,16,-2,35,1026,11,0,,13
5/25/2006,18,1,32,1026,8,0,,26
5/26/2006,19,2,32,1026,6,0,,97
5/27/2006,22,4,32,1026,8,0,,95
5/28/2006,24,6,34,1023,6,0,,53
5/29/2006,26,8,34,1015,8,0,,339
5/30/2006,21,4,34,1012,14,0,,26
5/31/2006,17,-5,24,1015,21,0,,32
6/1/2006,17,-2,31,1022,13,0,,19
6/2/2006,18,-1,28,1021,13,0,,360
6/3/2006,19,-3,27,1022,18,0,,50
6/4/2006,20,1,28,1022,10,0,,38
6/5/2006,22,-2,24,1019,6,0,,41
6/6/2006,23,-2,20,1019,6,0,,130
6/7/2006,25,1,21,1019,8,0,,139
6/8/2006,26,4,25,1017,10,0,,194
6/9/2006,22,11,51,1016,11,0,Rain-Thunderstorm,77
6/10/2006,22,11,55,1018,8,0,Rain,124
6/11/2006,23,9,42,1019,11,0,,142
6/12/2006,23,5,32,1020,16,0,,129
6/13/2006,22,6,34,1019,13,0,Rain,121
6/14/2006,23,7,35,1014,10,0,,135
6/15/2006,22,11,55,1016,14,0,Rain-Thunderstorm,156
6/16/2006,20,12,62,1017,8,0,Rain,123
6/17/2006,21,12,65,1016,11,0,Rain-Thunderstorm,185
6/18/2006,21,11,60,1016,5,0,,127
6/19/2006,23,10,46,1016,6,0,,331
6/20/2006,24,13,53,1016,10,0,Rain-Thunderstorm,65
6/21/2006,24,11,46,1017,8,0,,268
6/22/2006,27,8,36,1016,8,0,,270
6/23/2006,27,10,38,1014,8,0,,63
6/24/2006,26,11,42,1013,10,0,Rain,238
6/25/2006,22,9,46,1014,11,0,,175
6/26/2006,24,8,37,1015,11,0,,201
6/27/2006,23,6,32,1016,6,0,,242
6/28/2006,23,8,37,1016,8,0,Rain-Thunderstorm,320
6/29/2006,24,7,33,1019,10,0,,243
6/30/2006,27,8,33,1020,8,0,Rain-Thunderstorm,138
7/1/2006,24,9,40,1020,6,0,Thunderstorm,185
7/2/2006,26,4,28,1016,11,0,,228
7/3/2006,24,4,28,1016,14,0,,224
7/4/2006,22,4,29,1015,10,0,,248
7/5/2006,22,6,32,1017,10,0,,265
7/6/2006,23,8,38,1021,13,0,,10
7/7/2006,24,7,33,1021,13,0,,16
7/8/2006,27,8,31,1019,8,0,,298
7/9/2006,28,6,27,1020,6,0,,357
7/10/2006,30,5,22,1022,10,0,,269
7/11/2006,28,3,20,1022,6,0,,351
7/12/2006,29,7,25,1021,8,0,,97
7/13/2006,28,8,31,1020,8,0,Rain-Thunderstorm,51
7/14/2006,28,10,36,1020,10,0,,58
7/15/2006,28,9,32,1020,10,0,,129
7/16/2006,28,11,36,1021,8,0,,53
7/17/2006,28,11,35,1021,6,0,,329
7/18/2006,28,11,37,1019,11,0,,209
7/19/2006,26,13,47,1019,11,0,Rain,9
7/20/2006,28,11,39,1020,10,0,,158
7/21/2006,28,8,30,1020,8,0,,229
7/22/2006,26,5,26,1019,8,0,,246
7/23/2006,28,3,22,1018,8,0,,318
7/24/2006,28,6,27,1017,8,0,,278
7/25/2006,27,4,22,1017,10,0,,250
7/26/2006,27,3,22,1016,10,0,,272
7/27/2006,27,4,24,1016,11,0,,204
7/28/2006,24,7,33,1016,8,0,,18
7/29/2006,27,7,32,1014,8,0,,175
7/30/2006,27,4,23,1015,10,0,,239
7/31/2006,27,6,25,1017,10,0,,266
8/1/2006,27,6,25,1017,6,0,,8
8/2/2006,28,11,35,1016,11,0,,3
8/3/2006,27,8,30,1012,11,0,,19
8/4/2006,23,6,34,1016,18,0,,48
8/5/2006,24,4,31,1017,14,0,,28
8/6/2006,24,3,29,1019,16,0,,46
8/7/2006,24,6,30,1017,13,0,,11
8/8/2006,24,7,36,1015,19,0,,38
8/9/2006,24,4,31,1016,14,0,,40
8/10/2006,24,2,22,1016,10,0,,4
8/11/2006,27,4,27,1016,14,0,,8
8/12/2006,24,-1,19,1013,11,0,,350
8/13/2006,21,2,31,1015,11,0,,39
8/14/2006,23,2,25,1012,11,0,,299
8/15/2006,23,4,30,1010,13,0,,236
8/16/2006,20,7,44,1009,26,0,,231
8/17/2006,19,10,60,1007,21,0,Rain,216
8/18/2006,17,8,56,1013,16,0,Rain,213
8/19/2006,18,8,64,1019,6,0,Fog,143
8/20/2006,21,4,37,1024,10,0,,3
8/21/2006,23,6,36,1024,8,0,,355
8/22/2006,24,7,34,1020,6,0,,352
8/23/2006,26,7,32,1015,6,0,Thunderstorm,306
8/24/2006,24,8,39,1015,8,0,,7
8/25/2006,23,7,36,1017,10,0,,339
8/26/2006,23,7,39,1018,11,0,,7
8/27/2006,23,7,36,1020,8,0,,2
8/28/2006,26,7,33,1020,8,0,,337
8/29/2006,27,6,32,1018,10,0,,4
8/30/2006,24,6,33,1019,8,0,,35
8/31/2006,24,7,32,1021,8,0,,187
9/1/2006,26,4,28,1020,6,0,,224
9/2/2006,26,-1,19,1018,6,0,,272
9/3/2006,26,1,19,1021,5,0,,302
9/4/2006,28,5,24,1024,6,0,,1
9/5/2006,27,9,33,1022,8,0,,160
9/6/2006,27,12,42,1018,11,0,Rain-Thunderstorm,156
9/7/2006,26,12,49,1017,6,0,Rain-Thunderstorm,20
9/8/2006,26,9,40,1019,6,0,,39
9/9/2006,26,9,41,1020,6,0,Rain-Thunderstorm,335
9/10/2006,23,11,50,1021,8,0,,165
9/11/2006,24,11,47,1019,10,0,,159
9/12/2006,21,11,54,1016,6,0,Rain,111
9/13/2006,20,10,57,1012,10,0,Rain,202
9/14/2006,18,9,63,1010,14,0,Rain-Thunderstorm,192
9/15/2006,14,6,56,1014,8,0,Rain,325
9/16/2006,17,4,46,1017,10,0,,63
9/17/2006,17,3,40,1019,6,0,,263
9/18/2006,21,6,39,1019,6,0,,275
9/19/2006,20,5,38,1019,5,0,,270
9/20/2006,22,5,36,1016,8,0,,231
9/21/2006,20,9,50,1010,16,0,Rain,166
9/22/2006,17,9,63,1012,14,0,,206
9/23/2006,16,7,60,1010,8,0,,247
9/24/2006,16,10,71,1012,13,0,Rain,206
9/25/2006,18,7,50,1017,14,0,,310
9/26/2006,18,6,46,1020,6,0,,349
9/27/2006,19,6,43,1016,6,0,,231
9/28/2006,20,9,50,1013,8,0,,183
9/29/2006,18,9,57,1016,10,0,,257
9/30/2006,19,12,63,1016,11,0,,205
10/1/2006,19,10,57,1019,14,0,,211
10/2/2006,19,8,48,1016,10,0,,268
10/3/2006,19,7,48,1016,16,0,Rain,261
10/4/2006,17,5,48,1021,21,0,,272
10/5/2006,13,3,51,1026,5,0,,348
10/6/2006,14,3,46,1024,6,0,,275
10/7/2006,19,8,48,1021,6,0,,160
10/8/2006,19,8,53,1019,5,0,,346
10/9/2006,19,6,46,1019,5,0,,74
10/10/2006,17,8,56,1018,6,0,,333
10/11/2006,17,11,62,1017,13,0,Rain,234
10/12/2006,13,3,50,1022,10,0,,46
10/13/2006,14,3,50,1023,8,0,,343
10/14/2006,14,4,51,1022,5,0,,343
10/15/2006,14,6,58,1018,6,0,,9
10/16/2006,17,10,64,1014,13,0,Rain,132
10/17/2006,13,12,91,1012,13,0,Rain,142
10/18/2006,14,12,85,1007,13,0,Rain,166
10/19/2006,14,11,81,1006,16,0,Rain,205
10/20/2006,14,13,89,1007,13,0,Rain,191
10/21/2006,14,11,83,1012,8,0,Fog,277
10/22/2006,14,13,84,1010,11,0,Rain,168
10/23/2006,16,13,86,1008,23,0,Rain,193
10/24/2006,13,12,89,1013,10,0,Fog-Rain,268
10/25/2006,17,13,81,1006,14,0,Rain,149
10/26/2006,16,12,80,1010,14,0,Rain,172
10/27/2006,17,11,74,1022,8,0,,21
10/28/2006,19,11,68,1028,8,0,,356
10/29/2006,20,11,67,1025,5,0,,346
10/30/2006,17,10,66,1017,5,0,,198
10/31/2006,17,11,73,1017,5,0,,282
11/1/2006,16,12,77,1019,5,0,,185
11/2/2006,14,11,85,1018,5,0,Rain,106
11/3/2006,12,12,94,1018,6,0,Rain,103
11/4/2006,12,11,97,1022,6,0,Rain,25
11/5/2006,12,10,86,1026,10,0,Rain,10
11/6/2006,12,9,80,1025,3,0,,89
11/7/2006,13,12,90,1021,6,0,Rain,358
11/8/2006,14,12,87,1023,8,0,Rain,19
11/9/2006,14,9,72,1029,5,0,,57
11/10/2006,13,8,74,1030,5,0,,340
11/11/2006,12,7,75,1030,5,0,,345
11/12/2006,11,7,76,1027,5,0,,339
11/13/2006,12,6,72,1023,3,0,,280
11/14/2006,10,4,73,1020,5,0,,321
11/15/2006,10,6,78,1016,6,0,Rain,81
11/16/2006,12,10,89,1009,18,0,Rain,178
11/17/2006,8,4,75,1017,13,0,,216
11/18/2006,10,8,87,1022,11,0,Rain,175
11/19/2006,12,9,82,1026,8,0,,168
11/20/2006,12,8,78,1025,10,0,,207
11/21/2006,11,7,74,1021,14,0,,199
11/22/2006,14,8,67,1015,19,0,,245
11/23/2006,12,9,83,1011,16,0,,210
11/24/2006,13,10,81,1005,23,0,Rain,169
11/25/2006,11,8,86,1009,24,0,Rain,174
11/26/2006,8,7,90,1020,3,0,Fog,159
11/27/2006,8,5,86,1024,3,0,,134
11/28/2006,8,6,87,1024,3,0,Rain,357
11/29/2006,9,4,74,1029,8,0,,4
11/30/2006,8,4,82,1030,3,0,,353
12/1/2006,8,6,85,1028,3,0,,342
12/2/2006,9,7,88,1021,5,0,,54
12/3/2006,8,7,87,1023,8,0,Fog,195
12/4/2006,13,10,82,1025,21,0,,222
12/5/2006,10,9,84,1018,18,0,Rain,201
12/6/2006,9,2,63,1019,18,0,,273
12/7/2006,6,4,86,1020,10,0,Rain,186
12/8/2006,9,3,67,1012,23,0,Rain,247
12/9/2006,4,-1,67,1021,13,0,,230
12/10/2006,6,-1,67,1029,11,0,,9
12/11/2006,3,-2,74,1030,6,0,,334
12/12/2006,4,1,76,1026,5,0,,332
12/13/2006,7,1,73,1027,8,0,,344
12/14/2006,4,-1,76,1028,3,0,,339
12/15/2006,4,-2,71,1027,5,0,,348
12/16/2006,3,-1,79,1028,5,0,,353
12/17/2006,4,1,84,1029,5,0,,232
12/18/2006,6,-1,72,1024,5,0,,11
12/19/2006,2,-3,71,1021,5,0,,68
12/20/2006,3,-4,63,1025,8,0,,12
12/21/2006,3,-4,65,1029,6,0,,336
12/22/2006,2,-3,70,1029,10,0,,355
12/23/2006,4,-2,70,1029,13,0,,7
12/24/2006,4,-3,67,1030,6,0,,329
12/25/2006,3,-4,65,1029,5,0,,341
12/26/2006,4,-3,68,1030,5,0,,353
12/27/2006,6,-2,68,1031,5,0,,355
12/28/2006,3,-3,69,1029,5,0,,341
12/29/2006,3,-1,77,1030,5,0,,335
12/30/2006,6,3,81,1034,5,0,,282
12/31/2006,7,6,88,1040,3,0,,17
1/1/2007,7,6,91,1038,2,0,,128
1/2/2007,7,4,82,1039,3,0,,82
1/3/2007,6,0,77,1036,5,0,,346
1/4/2007,7,1,77,1031,5,0,,37
1/5/2007,6,2,80,1031,3,0,,327
1/6/2007,4,2,83,1030,3,0,,91
1/7/2007,3,2,90,1028,6,0,Fog,169
1/8/2007,6,4,90,1028,6,0,,171
1/9/2007,4,4,88,1026,6,0,,41
1/10/2007,3,2,94,1028,6,0,Fog,3
1/11/2007,6,1,82,1034,6,0,Fog,346
1/12/2007,7,1,70,1034,5,0,,344
1/13/2007,8,2,78,1030,3,0,,339
1/14/2007,9,2,72,1028,5,0,,339
1/15/2007,6,2,77,1026,5,0,Rain,282
1/16/2007,8,5,86,1026,5,0,,178
1/17/2007,6,4,85,1031,8,0,,188
1/18/2007,7,4,86,1035,5,0,,166
1/19/2007,10,6,85,1034,3,0,,357
1/20/2007,8,4,86,1028,3,0,Fog,127
1/21/2007,8,3,83,1022,5,0,,358
1/22/2007,4,2,83,1010,13,0,Fog-Rain,242
1/23/2007,4,-3,59,1012,13,0,,277
1/24/2007,2,-6,57,1014,8,0,,290
1/25/2007,2,-4,62,1007,18,0,Snow,327
1/26/2007,2,-9,45,1014,27,0,,32
1/27/2007,3,-15,28,1025,13,0,,26
1/28/2007,0,-7,56,1028,6,0,,12
1/29/2007,6,2,74,1020,10,0,Rain,358
1/30/2007,6,4,85,1019,6,0,Fog-Rain,168
1/31/2007,3,0,82,1023,5,0,,346
2/1/2007,3,-1,75,1026,3,0,,339
2/2/2007,4,1,79,1025,6,0,,12
2/3/2007,7,4,86,1023,6,0,Rain,359
2/4/2007,7,4,84,1023,5,0,Fog,10
2/5/2007,8,6,88,1020,3,0,Rain,31
2/6/2007,8,5,84,1012,3,0,Fog,236
2/7/2007,8,3,73,1009,16,0,,220
2/8/2007,8,7,91,1007,10,0,Rain,187
2/9/2007,9,2,64,1013,23,0,Rain,251
2/10/2007,12,5,66,1019,24,0,,231
2/11/2007,12,9,84,1021,23,0,,223
2/12/2007,12,4,63,1018,27,0,Rain,243
2/13/2007,7,4,83,1021,6,0,,333
2/14/2007,10,6,70,1018,16,0,,223
2/15/2007,7,1,70,1023,5,0,,345
2/16/2007,11,2,64,1011,13,0,Rain-Thunderstorm,291
2/17/2007,9,3,69,1013,18,0,Rain,235
2/18/2007,9,2,61,1016,18,0,,317
2/19/2007,7,2,71,1015,10,0,,258
2/20/2007,7,4,82,1010,6,0,Rain,134
2/21/2007,7,2,74,1015,8,0,Fog,269
2/22/2007,8,4,77,1016,11,0,,211
2/23/2007,10,7,80,1017,19,0,Rain,233
2/24/2007,9,5,72,1021,14,0,,220
2/25/2007,10,4,71,1020,16,0,Rain,248
2/26/2007,7,0,62,1025,5,0,,342
2/27/2007,9,3,66,1027,6,0,,178
2/28/2007,11,7,80,1022,8,0,,253
3/1/2007,9,5,69,1021,14,0,,222
3/2/2007,11,6,76,1023,13,0,,179
3/3/2007,12,8,81,1024,8,0,,184
3/4/2007,11,4,70,1020,11,0,,282
3/5/2007,8,-1,51,1025,10,0,,204
3/6/2007,8,3,71,1022,10,0,Rain,191
3/7/2007,11,4,69,1016,27,0,Rain,261
3/8/2007,8,-2,52,1026,34,0,,354
3/9/2007,8,2,64,1031,8,0,,78
3/10/2007,11,-6,37,1033,13,0,,30
3/11/2007,10,-8,27,1028,6,0,,159
3/12/2007,7,-2,54,1023,5,0,,119
3/13/2007,9,1,60,1026,5,0,,21
3/14/2007,9,0,52,1027,6,0,,3
3/15/2007,10,0,54,1025,6,0,,9
3/16/2007,10,2,58,1024,5,0,,3
3/17/2007,12,1,50,1027,10,0,,5
3/18/2007,10,1,54,1022,5,0,,273
3/19/2007,9,-2,43,1011,26,0,,290
3/20/2007,4,-4,61,1012,26,0,Rain-Snow,332
3/21/2007,4,-5,54,1013,19,0,,342
3/22/2007,5,-7,46,1019,18,0,,347
3/23/2007,7,-1,55,1016,5,0,,343
3/24/2007,8,-1,56,1013,6,0,,21
3/25/2007,7,-1,55,1010,8,0,,68
3/26/2007,8,1,59,1010,6,0,,262
3/27/2007,9,6,83,1011,10,0,Rain,85
3/28/2007,7,2,71,1012,6,0,,19
3/29/2007,9,2,61,1017,14,0,,12
3/30/2007,8,1,58,1017,8,0,,239
3/31/2007,9,4,71,1011,16,0,Rain-Thunderstorm,242
4/1/2007,8,3,73,1009,8,0,Rain-Thunderstorm,94
4/2/2007,7,4,78,1012,6,0,Rain,149
4/3/2007,7,2,74,1014,6,0,,262
4/4/2007,8,2,73,1011,10,0,Rain,11
4/5/2007,4,-3,58,1012,13,0,,42
4/6/2007,10,4,76,1015,16,0,Rain-Thunderstorm,41
4/7/2007,8,4,81,1017,8,0,Rain,72
4/8/2007,9,4,76,1019,6,0,,355
4/9/2007,10,6,76,1017,8,0,Rain,358
4/10/2007,13,8,75,1018,3,0,,61
4/11/2007,13,7,72,1017,5,0,Thunderstorm,116
4/12/2007,12,8,79,1014,6,0,Rain-Thunderstorm,4
4/13/2007,13,8,76,1014,6,0,Rain,29
4/14/2007,12,7,71,1019,6,0,,37
4/15/2007,13,7,67,1020,6,0,,19
4/16/2007,14,7,67,1020,8,0,Rain,27
4/17/2007,14,8,73,1019,6,0,Rain-Thunderstorm,8
4/18/2007,13,7,65,1017,5,0,Rain,47
4/19/2007,16,5,53,1016,5,0,,155
4/20/2007,16,7,61,1015,6,0,Rain,351
4/21/2007,14,7,58,1017,6,0,,74
4/22/2007,14,6,57,1020,8,0,,87
4/23/2007,16,7,56,1023,3,0,,358
4/24/2007,17,5,49,1020,6,0,,233
4/25/2007,13,9,76,1014,6,0,Rain,130
4/26/2007,11,9,86,1013,6,0,Rain,170
4/27/2007,13,8,79,1016,6,0,Rain-Thunderstorm,45
4/28/2007,12,7,77,1017,6,0,Rain-Thunderstorm,352
4/29/2007,13,8,74,1016,5,0,,26
4/30/2007,12,7,73,1012,11,0,Rain,243
5/1/2007,10,1,55,1011,16,0,,263
5/2/2007,10,7,82,1008,13,0,Rain,161
5/3/2007,12,7,77,1008,6,0,Rain,138
5/4/2007,13,5,64,1011,10,0,,352
5/5/2007,12,3,57,1017,14,0,,360
5/6/2007,14,3,49,1022,16,0,,7
5/7/2007,16,4,48,1026,8,0,,11
5/8/2007,17,4,45,1028,5,0,,251
5/9/2007,18,5,45,1027,6,0,,276
5/10/2007,18,7,48,1022,10,0,,259
5/11/2007,17,3,41,1019,11,0,,213
5/12/2007,16,6,50,1017,8,0,,194
5/13/2007,17,6,48,1014,18,0,,213
5/14/2007,13,1,43,1019,19,0,,294
5/15/2007,13,2,49,1024,6,0,,23
5/16/2007,17,3,42,1023,6,0,,11
5/17/2007,18,8,51,1023,10,0,,19
5/18/2007,22,11,49,1017,10,0,,13
5/19/2007,23,11,50,1011,8,0,,353
5/20/2007,19,11,67,1009,10,0,Rain-Thunderstorm,342
5/21/2007,17,11,70,1011,8,0,,139
5/22/2007,18,12,69,1013,10,0,Rain-Thunderstorm,57
5/23/2007,16,13,84,1015,10,0,Rain,32
5/24/2007,13,11,88,1013,8,0,Rain-Thunderstorm,11
5/25/2007,11,10,91,1012,5,0,Fog-Rain,275
5/26/2007,13,10,82,1010,6,0,Rain-Thunderstorm,203
5/27/2007,16,8,65,1011,11,0,,270
5/28/2007,13,2,48,1015,14,0,,321
5/29/2007,14,5,52,1017,8,0,,251
5/30/2007,17,8,56,1015,13,0,,253
5/31/2007,17,6,48,1016,21,0,,270
6/1/2007,16,4,48,1021,11,0,,22
6/2/2007,17,7,49,1023,14,0,,5
6/3/2007,19,7,49,1019,8,0,,27
6/4/2007,20,7,47,1017,11,0,,352
6/5/2007,17,7,51,1014,13,0,,27
6/6/2007,18,7,48,1012,6,0,,22
6/7/2007,20,8,47,1013,6,0,,2
6/8/2007,22,11,50,1017,6,0,,275
6/9/2007,23,12,52,1016,8,0,Rain,166
6/10/2007,19,11,61,1017,11,0,Rain-Thunderstorm,231
6/11/2007,18,8,52,1017,8,0,,16
6/12/2007,20,9,50,1014,8,0,,260
6/13/2007,19,8,47,1011,14,0,,243
6/14/2007,18,11,64,1011,19,0,Rain,207
6/15/2007,19,11,65,1014,18,0,,227
6/16/2007,18,15,84,1014,14,0,Rain,201
6/17/2007,18,14,80,1013,13,0,Rain,203
6/18/2007,19,13,68,1013,5,0,,209
6/19/2007,19,10,58,1013,10,0,,228
6/20/2007,17,9,61,1017,13,0,,213
6/21/2007,17,6,51,1019,6,0,,291
6/22/2007,17,4,45,1019,5,0,,326
6/23/2007,21,6,41,1017,8,0,,320
6/24/2007,23,10,46,1015,10,0,,211
6/25/2007,22,8,40,1015,14,0,,261
6/26/2007,20,6,40,1016,11,0,,1
6/27/2007,20,5,38,1015,10,0,,20
6/28/2007,22,7,40,1016,10,0,,278
6/29/2007,22,3,31,1018,10,0,,228
6/30/2007,23,4,30,1017,10,0,,291
7/1/2007,21,7,37,1014,11,0,,285
7/2/2007,21,6,39,1016,8,0,,215
7/3/2007,22,9,42,1017,13,0,,296
7/4/2007,24,9,43,1019,18,0,,11
7/5/2007,22,1,29,1023,14,0,,36
7/6/2007,24,6,31,1020,8,0,,1
7/7/2007,27,8,31,1017,8,0,,136
7/8/2007,26,8,37,1017,10,0,,288
7/9/2007,21,6,40,1020,13,0,,19
7/10/2007,20,4,36,1023,11,0,,23
7/11/2007,22,7,37,1021,5,0,,32
7/12/2007,24,8,35,1020,10,0,,350
7/13/2007,26,8,34,1017,8,0,,207
7/14/2007,27,7,30,1016,11,0,,150
7/15/2007,26,7,33,1015,14,0,,177
7/16/2007,23,7,37,1016,16,0,,219
7/17/2007,23,8,40,1018,10,0,,265
7/18/2007,23,4,30,1017,11,0,,269
7/19/2007,21,2,27,1016,14,0,,237
7/20/2007,21,3,32,1016,10,0,,358
7/21/2007,21,4,32,1015,10,0,,258
